job_id,opt_range,y_name,prop_step,tot_fol_group,test
1,11-26,blast_rate,0.05,all,mann_whitney
2,11-26,blast_rate,0.05,<10,mann_whitney
3,11-26,blast_rate,0.05,10-19,mann_whitney
4,11-26,blast_rate,0.05,20+,mann_whitney
5,11-26,fert_rate,0.05,all,mann_whitney
6,11-26,fert_rate,0.05,<10,mann_whitney
7,11-26,fert_rate,0.05,10-19,mann_whitney
8,11-26,fert_rate,0.05,20+,mann_whitney
9,11-26,live_birth,0.05,all,prop_test
10,11-26,live_birth,0.05,<10,prop_test
11,11-26,live_birth,0.05,10-19,prop_test
12,11-26,live_birth,0.05,20+,prop_test
13,11-26,mat_rate,0.05,all,mann_whitney
14,11-26,mat_rate,0.05,<10,mann_whitney
15,11-26,mat_rate,0.05,10-19,mann_whitney
16,11-26,mat_rate,0.05,20+,mann_whitney
17,11-26,mateggs_prop_tot,0.05,all,mann_whitney
18,11-26,mateggs_prop_tot,0.05,<10,mann_whitney
19,11-26,mateggs_prop_tot,0.05,10-19,mann_whitney
20,11-26,mateggs_prop_tot,0.05,20+,mann_whitney
21,11-26,mateggs_prop_tot11,0.05,all,mann_whitney
22,11-26,mateggs_prop_tot11,0.05,<10,mann_whitney
23,11-26,mateggs_prop_tot11,0.05,10-19,mann_whitney
24,11-26,mateggs_prop_tot11,0.05,20+,mann_whitney
25,13-18,blast_rate,0.05,all,mann_whitney
26,13-18,blast_rate,0.05,<10,mann_whitney
27,13-18,blast_rate,0.05,10-19,mann_whitney
28,13-18,blast_rate,0.05,20+,mann_whitney
29,13-18,fert_rate,0.05,all,mann_whitney
30,13-18,fert_rate,0.05,<10,mann_whitney
31,13-18,fert_rate,0.05,10-19,mann_whitney
32,13-18,fert_rate,0.05,20+,mann_whitney
33,13-18,live_birth,0.05,all,prop_test
34,13-18,live_birth,0.05,<10,prop_test
35,13-18,live_birth,0.05,10-19,prop_test
36,13-18,live_birth,0.05,20+,prop_test
37,13-18,mat_rate,0.05,all,mann_whitney
38,13-18,mat_rate,0.05,<10,mann_whitney
39,13-18,mat_rate,0.05,10-19,mann_whitney
40,13-18,mat_rate,0.05,20+,mann_whitney
41,13-18,mateggs_prop_tot,0.05,all,mann_whitney
42,13-18,mateggs_prop_tot,0.05,<10,mann_whitney
43,13-18,mateggs_prop_tot,0.05,10-19,mann_whitney
44,13-18,mateggs_prop_tot,0.05,20+,mann_whitney
45,13-18,mateggs_prop_tot11,0.05,all,mann_whitney
46,13-18,mateggs_prop_tot11,0.05,<10,mann_whitney
47,13-18,mateggs_prop_tot11,0.05,10-19,mann_whitney
48,13-18,mateggs_prop_tot11,0.05,20+,mann_whitney
49,15-18,blast_rate,0.05,all,mann_whitney
50,15-18,blast_rate,0.05,<10,mann_whitney
51,15-18,blast_rate,0.05,10-19,mann_whitney
52,15-18,blast_rate,0.05,20+,mann_whitney
53,15-18,fert_rate,0.05,all,mann_whitney
54,15-18,fert_rate,0.05,<10,mann_whitney
55,15-18,fert_rate,0.05,10-19,mann_whitney
56,15-18,fert_rate,0.05,20+,mann_whitney
57,15-18,live_birth,0.05,all,prop_test
58,15-18,live_birth,0.05,<10,prop_test
59,15-18,live_birth,0.05,10-19,prop_test
60,15-18,live_birth,0.05,20+,prop_test
61,15-18,mat_rate,0.05,all,mann_whitney
62,15-18,mat_rate,0.05,<10,mann_whitney
63,15-18,mat_rate,0.05,10-19,mann_whitney
64,15-18,mat_rate,0.05,20+,mann_whitney
65,15-18,mateggs_prop_tot,0.05,all,mann_whitney
66,15-18,mateggs_prop_tot,0.05,<10,mann_whitney
67,15-18,mateggs_prop_tot,0.05,10-19,mann_whitney
68,15-18,mateggs_prop_tot,0.05,20+,mann_whitney
69,15-18,mateggs_prop_tot11,0.05,all,mann_whitney
70,15-18,mateggs_prop_tot11,0.05,<10,mann_whitney
71,15-18,mateggs_prop_tot11,0.05,10-19,mann_whitney
72,15-18,mateggs_prop_tot11,0.05,20+,mann_whitney
